id,champion,sum_total,win_total,lose_total,winrate_total,pick_rate,sum_blue_side,win_blue_side,lose_blue_side,winrate_blue_side,sum_red_side,win_red_side,lose_red_side,winrate_red_side,sum_bans,ban_rate,sum_pick_ban,pick_ban_rate
65,Kled,3,1,2,33.33%,2.48%,0,0,0,-,3,1,2,33.33%,0,0.00%,3,2.48%
66,Malphite,3,1,2,33.33%,2.48%,1,0,1,0.00%,2,1,1,50.00%,5,4.13%,8,6.61%
67,Pyke,3,1,2,33.33%,2.48%,1,0,1,0.00%,2,1,1,50.00%,0,0.00%,3,2.48%
68,Xayah,3,1,2,33.33%,2.48%,2,0,2,0.00%,1,1,0,100.00%,1,0.83%,4,3.31%
69,Viktor,3,0,3,0.00%,2.48%,2,0,2,0.00%,1,0,1,0.00%,0,0.00%,3,2.48%
70,Urgot,2,2,0,100.00%,1.65%,1,1,0,100.00%,1,1,0,100.00%,6,4.96%,8,6.61%
71,Annie,2,1,1,50.00%,1.65%,0,0,0,-,2,1,1,50.00%,1,0.83%,3,2.48%
72,Fiddlesticks,2,1,1,50.00%,1.65%,2,1,1,50.00%,0,0,0,-,2,1.65%,4,3.31%
73,Maokai,2,1,1,50.00%,1.65%,2,1,1,50.00%,0,0,0,-,0,0.00%,2,1.65%
74,Senna,2,1,1,50.00%,1.65%,1,0,1,0.00%,1,1,0,100.00%,0,0.00%,2,1.65%
75,Zed,2,1,1,50.00%,1.65%,0,0,0,-,2,1,1,50.00%,0,0.00%,2,1.65%
76,Kalista,2,0,2,0.00%,1.65%,0,0,0,-,2,0,2,0.00%,2,1.65%,4,3.31%
77,Sejuani,2,0,2,0.00%,1.65%,1,0,1,0.00%,1,0,1,0.00%,1,0.83%,3,2.48%
78,Varus,2,0,2,0.00%,1.65%,2,0,2,0.00%,0,0,0,-,1,0.83%,3,2.48%
79,Bard,1,1,0,100.00%,0.83%,1,1,0,100.00%,0,0,0,-,0,0.00%,1,0.83%
80,Kassadin,1,1,0,100.00%,0.83%,0,0,0,-,1,1,0,100.00%,6,4.96%,7,5.79%
81,Nocturne,1,1,0,100.00%,0.83%,1,1,0,100.00%,0,0,0,-,2,1.65%,3,2.48%
82,Sion,1,1,0,100.00%,0.83%,0,0,0,-,1,1,0,100.00%,2,1.65%,3,2.48%
83,Tahm Kench,1,1,0,100.00%,0.83%,0,0,0,-,1,1,0,100.00%,1,0.83%,2,1.65%
84,Ashe,1,0,1,0.00%,0.83%,1,0,1,0.00%,0,0,0,-,0,0.00%,1,0.83%
85,Jinx,1,0,1,0.00%,0.83%,0,0,0,-,1,0,1,0.00%,3,2.48%,4,3.31%
86,Karma,1,0,1,0.00%,0.83%,1,0,1,0.00%,0,0,0,-,1,0.83%,2,1.65%
87,Ornn,1,0,1,0.00%,0.83%,0,0,0,-,1,0,1,0.00%,1,0.83%,2,1.65%
88,Seraphine,1,0,1,0.00%,0.83%,0,0,0,-,1,0,1,0.00%,1,0.83%,2,1.65%
89,Shaco,1,0,1,0.00%,0.83%,1,0,1,0.00%,0,0,0,-,0,0.00%,1,0.83%
90,Vayne,1,0,1,0.00%,0.83%,0,0,0,-,1,0,1,0.00%,0,0.00%,1,0.83%
